Supplier,Model,SerialNumber,Condition,Note,ReceivedDate,StockStatus
39,HWIC-1GE-SFP#Z,FOC16015NGS,NIB,"8.3.4.1.B; 06/05/2020
---wh by E",1584032400,1
39,X2-10GB-SR,FNS16350401,USEB,"V06, Antistatic bag---osi hardware",1386954000,0
39,GLC-T=,MTC090800TJ,USEB,"V02, Antistatic Bag---osi hardware",1386954000,0
39,GLC-T=,MTC09060013,USEB,"V02, Antistatic Bag---osi hardware",1386954000,0
39,GLC-T=,MTC093804JP,USEB,"V02, Antistatic Bag---osi hardware",1386954000,0
39,GLC-T=,MTC090803LR,USEB,"V02, Antistatic Bag---osi hardware",1386954000,0
39,GLC-T=,AGS1028L3Y0,USEB,"V02, Antistatic Bag---osi hardware",1386954000,0
39,GLC-T=,AGS0952L3QF,USEB,"V02, Antistatic Bag---osi hardware",1386954000,0
39,GLC-T=,MTC0905010K,USEB,"V02, Antistatic Bag---osi hardware",1386954000,0
39,GLC-T=,AGS0952L3RB,USEB,"V02, Antistatic Bag---osi hardware",1386954000,0
39,GLC-T=,AGS1028L2L7,USEB,"V02, Antistatic Bag---osi hardware",1386954000,0
39,GLC-T=,MTC09050114,USEB,"V02, Antistatic Bag---osi hardware",1386954000,0
39,GLC-T=,AGS1028L3YT,USEB,"V02, Antistatic Bag---osi hardware",1386954000,0
39,GLC-T=,AGS0944L22M,USEB,"V02, Antistatic Bag---osi hardware",1386954000,0
39,GLC-T=,AGM1115Q150,USEB,"V02, Antistatic Bag broken for part only---Handle broken,---osi hardware",1386954000,0
39,GLC-T=,MTC084701FJ,USEB,"V02, Antistatic Bag broken for part only---osi hardware",1386954000,0
39,GLC-T=,MTC084701DZ,USEB,"V02, Antistatic Bag broken for part only---Handle broken,---osi hardware",1386954000,0
39,GLC-T=,MTC092104SV,USEB,"V02, Antistatic Bag broken for part only---Handle broken,---osi hardware",1386954000,0
39,GLC-T=,AGS0941L1U8,USEB,"V02, Antistatic Bag broken for part only---Handle broken,---osi hardware",1386954000,0
39,GLC-T=,MTC0847014X,USEB,"V02, Antistatic Bag broken for part only---Handle broken,---osi hardware",1386954000,0
39,GLC-SX-MM=,AGM1520L5DK,NIB,"V04,---osi hardware",1386954000,0
39,SFP-GE-T=,MTC092204MV,USEB,V01---osi hardware,1386954000,0
39,SFP-C-E1,FOC04/160045,USEB,V01---osi hardware,1386954000,1
39,X2-10GB-LX4,HCT11490620,USEB,"V03, WH---osi hardware",1386954000,1
39,X2-10GB-LX4,HCT11490617,USEB,"V03, WH---osi hardware",1386954000,1
39,X2-10GB-LX4,HCT12420276,USEB,"V04, WH---osi hardware",1386954000,1
39,X2-10GB-LX4,HCT12400877,USEB,"SMD.BOX.058; 10/12/2019
---V04, WH---osi hardware",1386954000,1
39,X2-10GB-LX4,HCT12420237,USEB,"V04, WH---osi hardware",1386954000,1
39,GLC-FE-100FX-RGD,AGP1516F4ZW,USEB,"V01, WH---osi hardware",1386954000,0
39,GLC-FE-100FX-RGD,AGP1516F409,USEB,"V01, WH---osi hardware",1386954000,1
39,GLC-FE-100FX-RGD,AGP1516F637,USEB,"V01, WH---osi hardware",1386954000,1
39,PCEX-3G-HSPA-A,D463128197811,USEB,MEP Locked---osi hardware,1386954000,1
39,PCEX-3G-CDMA-V,D370139160310,USEB,osi hardware,1386954000,1
39,PCEX-3G-CDMA-V,D370199343610,USEB,osi hardware,1386954000,1
39,PCEX-3G-CDMA-V,D370099025610,USEB,osi hardware,1386954000,1
39,PCEX-3G-CDMA-V,D370109537110,USEB,osi hardware,1386954000,1
39,PCEX-3G-CDMA-V,D370149011910,USEB,osi hardware,1386954000,1
39,PCEX-3G-CDMA-V,D370109158110,USEB,osi hardware,1386954000,1
39,PCEX-3G-CDMA-V,D370109590910,USEB,osi hardware,1386954000,1
39,PCEX-3G-CDMA-V,D370149016910,USEB,osi hardware,1386954000,1
39,PCEX-3G-CDMA-V,D370139548510,USEB,osi hardware,1386954000,1
39,PCEX-3G-CDMA-V,D370099439210,USEB,osi hardware,1386954000,1
39,PCEX-3G-CDMA-S,D370139143810,USEB,osi hardware,1386954000,1
39,PCEX-3G-CDMA-S,D370099325310,USEB,osi hardware,1386954000,1
39,XFP-10GE-S,CA36BQ09D,USEB,"V01, Juniper Network---WH---osi hardware",1386954000,0
39,CVR-X2-SFP,FDO12110GHH,USEB,"V01, WH---osi hardware",1386954000,0
39,CWDM-SFP-1490 ,FNS1010D2QS,NIB,"V01, Antistatic---V01, WH---osi hardware",1386954000,0
39,CWDM-SFP-1490 ,FNS1010D2QV,NIB,"V01, Antistatic---V01, WH---osi hardware",1386954000,0
39,CWDM-GBIC-1530 ,SKEB03GW,NIB,"V01, Antistatic---V01, WH---osi hardware",1386954000,0
39,CWDM-SFP-1550 ,FNS1015M0F3,USEB,"V01, Antistatic---V01, WH---osi hardware",1386954000,1
39,GLC-FE-100FX,OPA124B4168,USEB,"V01,---osi hardware",1386954000,0
39,GLC-FE-100BX-D,NEC11334281,NIB,"SMD.BOX.030; 09/10/2019
---V01, Antistatic Bag---V01, WH---osi hardware",1386954000,1
39,GLC-FE-100BX-D,NEC11334313,NIB,"SMD.BOX.030; 09/10/2019
---V01, Antistatic Bag---V01, WH---osi hardware",1386954000,1
39,GLC-FE-100BX-D,NEC11334320,NIB,"SMD.BOX.030; 09/10/2019
---V01, Antistatic Bag---V01, WH---osi hardware",1386954000,1
39,GLC-FE-100BX-D,NEC11334291,NIB,"SMD.BOX.030; 09/10/2019
---V01, Antistatic Bag---V01, WH---osi hardware",1386954000,1
39,GLC-FE-100BX-D ,NEC11334292,NIB,"V01, Antistatic Bag---V01, WH---osi hardware",1386954000,0
39,GLC-LH-SM,FNS0848M1DE,USEB,"V01,---osi hardware",1386954000,0
