Condition,Model,ReceivedDate,SerialNumber,StockStatus,SupplierName,Note.0,updated_at,oldModelName,newModelName
USEB,CP-7942G,1460912400,FCH1427975T,0,39,wh by G,2019-08-06T00:17:07.000Z,CP-7942G,CP-7942G
USEB,CP-7942G,1460912400,FCH16378AXM,0,39,wh by G,2019-08-06T00:17:07.000Z,CP-7942G,CP-7942G
USEB,CP-7942G,1460912400,FCH16528UPH,0,39,wh by G,2019-08-06T00:17:07.000Z,CP-7942G,CP-7942G
USEB,CP-7942G,1460912400,FCH1744AER6,0,39,wh by G,2019-08-06T00:17:07.000Z,CP-7942G,CP-7942G
USEB,CP-7942G,1460912400,FCH17459MFC,0,39,wh by G,2019-08-06T00:17:07.000Z,CP-7942G,CP-7942G
USEB,CP-7942G,1460912400,FCH1744AGFE,0,39,wh by G,2019-08-06T00:17:07.000Z,CP-7942G,CP-7942G
USEB,CP-7942G,1460912400,FCH17138AMN,0,39,wh by G,2019-08-06T00:17:07.000Z,CP-7942G,CP-7942G
USEB,CP-7942G,1460912400,FCH1744AFJE,0,39,wh by G,2019-08-06T00:17:07.000Z,CP-7942G,CP-7942G
USEB,CP-7942G,1460912400,FCH1745A5YV,0,39,wh by G,2019-08-06T00:17:07.000Z,CP-7942G,CP-7942G
USEB,CP-7942G,1460912400,FCH17018GV4,0,39,wh by G,2019-08-06T00:17:07.000Z,CP-7942G,CP-7942G
USEB,CP-7962G#CP-7942G,1460912400,FCH16518KMT,0,39,wh by G,2019-08-06T01:32:56.000Z,CP-7962G#CP-7942G,CP-7962G
USEB,CP-7942G,1460912400,FCH17018GUF,0,39,wh by G,2019-08-06T00:17:07.000Z,CP-7942G,CP-7942G
USEB,CP-7942G,1460912400,FCH17459MWJ,0,39,wh by G,2019-08-06T00:17:07.000Z,CP-7942G,CP-7942G
USEB,CP-7942G,1460912400,FCH17018H4Y,0,39,wh by G,2019-08-06T00:17:07.000Z,CP-7942G,CP-7942G
USEB,CP-7942G,1460912400,FCH17138AE7,0,39,wh by G,2019-08-06T00:17:07.000Z,CP-7942G,CP-7942G
USEB,CP-7942G,1460912400,FCH1745B1GY,0,39,wh by G,2019-08-06T00:17:07.000Z,CP-7942G,CP-7942G
USEB,CP-7942G,1460912400,FCH1651A7QB,0,39,wh by G,2019-08-06T00:17:07.000Z,CP-7942G,CP-7942G
USEB,CP-7942G,1460912400,FCH1744AG9W,0,39,wh by G,2019-08-06T00:17:07.000Z,CP-7942G,CP-7942G
USEB,CP-7942G,1460912400,FCH1712A0KU,0,39,wh by G,2019-08-06T00:17:07.000Z,CP-7942G,CP-7942G
USEB,CP-7942G,1460912400,FCH17019098,0,39,wh by G,2019-08-06T00:17:07.000Z,CP-7942G,CP-7942G
USEB,CP-7942G,1460912400,FCH17018H17,0,39,wh by G,2019-08-06T00:17:07.000Z,CP-7942G,CP-7942G
USEB,CP-7942G,1460912400,FCH1711A1YN,0,39,wh by G,2019-08-06T00:17:07.000Z,CP-7942G,CP-7942G
USEB,CP-7942G,1460912400,FCH1745A5RX,0,39,wh by G,2019-08-06T00:17:07.000Z,CP-7942G,CP-7942G
USEB,CP-7942G,1460912400,FCH17138A4C,0,39,wh by G,2019-08-06T00:17:07.000Z,CP-7942G,CP-7942G
USEB,GLC-LH-SM,1460912400,FNS16050MPH,0,39,wh by G,2019-08-06T00:17:07.000Z,GLC-LH-SM,GLC-LH-SM
USEB,CWDM-SFP-1570,1460912400,FNS15491RP8,1,39,wh by G,2019-08-06T00:17:07.000Z,CWDM-SFP-1570,CWDM-SFP-1570
USEB,CWDM-SFP-1570,1460912400,FNS15491RPD,1,39,wh by G,2019-08-06T00:17:07.000Z,CWDM-SFP-1570,CWDM-SFP-1570
USEB,CISCO2851,1460912400,FHK0915F015,0,39,wh by G,2019-08-06T00:17:07.000Z,CISCO2851,CISCO2851
