Supplier,Model,SerialNumber,Condition,Note,ReceivedDate,StockStatus,
39,CAB-SPWR-30CM#JV,IPS004290,USEB,"Pack#: Pack3899
From:   thesolargeek---to CablesAndKits - PO49805",1484586000,0,updated_at
39,CAB-SPWR-30CM#JV,IPS004291,USEB,"Pack#: Pack3905
From:   ctsnetworks---to CablesAndKits - PO49805",1484586000,0,
39,CAB-SPWR-30CM#JV,IPS004292,USEB,"Pack#: Pack3905
From:   ctsnetworks---to CablesAndKits - PO49990",1484586000,0,
39,CAB-SPWR-30CM#JV,IPS004293,USEB,"Pack#: Pack3905
From:   ctsnetworks---to CablesAndKits - PO49805",1484586000,0,
39,CAB-SPWR-30CM#JV,IPS004294,USEB,"Pack#: Pack3905
From:   ctsnetworks---to CablesAndKits - PO49990",1484586000,0,
39,CAB-STK-E-0.5M#JV,IPS004295,USEB,"Pack#: Pack3907
From:Â  baystatecommtech-4---Blind Ship for CentricsIT - PPO71747",1484586000,0,
39,CAB-STK-E-0.5M#JV,IPS004296,USEB,"Pack#: Pack3907
From:Â  baystatecommtech-4---Blind Ship for CentricsIT - PPO71747",1484586000,0,
39,EHWIC-4ESG#JV,FOC154235VB,USEB,"Pack#: Pack3914
From:Â  peacemakr885Â ---SFOC1928009P
SFOC19022JRG
SFOC18499UK6
FOC154235VB",1484672400,0,
39,CAB-SPWR-30CM#JV,IPS004297,USEB,"Pack#: Pack3892
From:Â  kix.noir---to CablesAndKits - PO48789,48708",1484672400,0,
39,CAB-HD8-ASYNC#JV,IPS004317,USEB,Pack#: Pack3896---to Data Hardware Depot - PO22445---Data Hardware Depot ----Data Hardware Depot -,1484845200,0,
39,CAB-HD8-ASYNC#JV,IPS004316,USEB,Pack#: Pack3896,1484845200,0,
39,CAB-HD8-ASYNC#JV,IPS004315,USEB,"Pack#: Pack3896---to Vardata, LLC - PO49122",1484845200,0,
39,CAB-HD8-ASYNC#JV,IPS004314,USEB,Pack#: Pack3896,1484845200,0,
39,CAB-HD8-ASYNC#JV,IPS004313,USEB,Pack#: Pack3896---- Blind ship for Netsource Global-,1484845200,0,
39,CAB-HD8-ASYNC#JV,IPS004312,USEB,Pack#: Pack3896---- Blind ship for Netsource Global-,1484845200,0,
39,CAB-HD8-ASYNC#JV,IPS004311,USEB,Pack#: Pack3896---to Curvature US - PO1222445,1484845200,0,
39,CAB-HD8-ASYNC#JV,IPS004310,USEB,Pack#: Pack3896---- Blind ship for Netsource Global-,1484845200,0,
39,CAB-HD8-ASYNC#JV,IPS004309,USEB,"Pack#: Pack3896---to Vardata, LLC - PO49122",1484845200,0,
39,CAB-HD8-ASYNC#JV,IPS004308,USEB,Pack#: Pack3896---to Data Hardware Depot - PO22445---Data Hardware Depot ----Data Hardware Depot -,1484845200,0,
39,CAB-HD8-ASYNC#JV,IPS004307,USEB,Pack#: Pack3896---to Curvature US - PO1222445,1484845200,0,
39,CAB-HD8-ASYNC#JV,IPS004306,USEB,Pack#: Pack3896,1484845200,0,
39,CAB-HD8-ASYNC#JV,IPS004305,USEB,Pack#: Pack3896---to ALLIANCE DATACOM - PO80798,1484845200,0,
39,CAB-HD8-ASYNC#JV,IPS004304,USEB,Pack#: Pack3896---to ALLIANCE DATACOM - PO80798,1484845200,0,
39,CAB-HD8-ASYNC#JV,IPS004303,USEB,Pack#: Pack3896---to ALLIANCE DATACOM - PO80798,1484845200,0,
39,CAB-HD8-ASYNC#JV,IPS004302,USEB,Pack#: Pack3896---to ALLIANCE DATACOM - PO80798,1484845200,0,
39,CAB-HD8-ASYNC#JV,IPS004301,USEB,Pack#: Pack3896---to ALLIANCE DATACOM - PO80798,1484845200,0,
