Condition,Model,ReceivedDate,SerialNumber,StockStatus,SupplierName,Note.0,updated_at,oldModelName,newModelName
USEB,WS-C3750G-48PS-S#JV,1443546000,FOC1202Y32N,0,39,why by Giang,2019-08-06T00:13:05.000Z,WS-C3750G-48PS-S#JV,WS-C3750G-48PS-S
USEB,WS-C3750G-48PS-S#JV,1443546000,FOC1148Y5UF,0,39,why by Giang,2019-08-06T00:13:05.000Z,WS-C3750G-48PS-S#JV,WS-C3750G-48PS-S
USEB,CISCO1941-SEC/K9#JV,1443546000,FGL164226ZV,0,39,why by Giang,2019-08-06T00:13:05.000Z,CISCO1941-SEC/K9#JV,CISCO1941-SEC/K9
USEB,WS-C2970G-24TS-E#JV,970419600,CAT0732R134,0,39,"Wh by Trung
Ship to Caleb Acton for Optimum Data - PO79031",2019-08-06T00:13:06.000Z,WS-C2970G-24TS-E#JV,WS-C2970G-24TS-E
NIB,C2960S-STACK#JV#PACK3303,1443114000,FOC15316YH8,0,39,Wh by Trung,2019-08-06T00:13:06.000Z,C2960S-STACK#JV#PACK3303,C2960S-STACK
USEB,GLC-LH-SMD#JV#X01,1444064400,FNS191704FF,0,39,Wh by Trung,2019-08-06T00:13:06.000Z,GLC-LH-SMD#JV#X01,GLC-LH-SMD
USEB,WS-C3750X-24T-S#JV#P3176,1444064400,FDO1427K00Z,0,39,Wh by Trung,2019-08-06T00:13:06.000Z,WS-C3750X-24T-S#JV#P3176,WS-C3750X-24T-S
USEB,WS-C3750G-48TS-S#JV#P3069,1444064400,FOC1223Z0F1,0,39,wh by tuan,2019-08-06T00:13:07.000Z,WS-C3750G-48TS-S#JV#P3069,WS-C3750G-48TS-S
USEB,WS-C2960-24PC-L#JV#PACK3325,1444064400,FCQ1629X2U2,0,39,WH BY TUAN,2019-08-06T00:13:07.000Z,WS-C2960-24PC-L#JV#PACK3325,WS-C2960-24PC-L
NIB,C3KX-PWR-350WAC#C3KX-PWR-350WAC/#JV#PACK7043,1444150800,DTN1518L0G0,0,39,"WH by PAT, Grade A",2019-08-06T00:38:45.000Z,C3KX-PWR-350WAC#C3KX-PWR-350WAC/#JV#PACK7043,C3KX-PWR-350WAC
USEB,WS-X4648-RJ45V+E#JV#P3180,1444237200,JAE163009M5,0,39,wh by Giang,2019-08-06T00:13:07.000Z,WS-X4648-RJ45V+E#JV#P3180,WS-X4648-RJ45V+E
USEB,WS-C4948-E#JV,1444237200,FOX1130086F,0,39,Wh by Trung,2019-08-06T00:13:08.000Z,WS-C4948-E#JV,WS-C4948-E
USEB,WS-C3750G-12S-S#JV#P3180,1444237200,FDO1327Z1U5,0,39,wh by Giang,2019-08-06T00:13:08.000Z,WS-C3750G-12S-S#JV#P3180,WS-C3750G-12S-S
USEB,CISCO2511#CISCO 2511#JV#PACK3816,1444237200,251383361,0,39,wh by Giang,2019-08-06T00:38:45.000Z,CISCO2511#CISCO 2511#JV#PACK3816,CISCO2511
USEB,WS-C3750G-48PS-S#JV,1444237200,FOC1436Y1UF,0,39,"PAID. left at Intellge China, $1380 landed.
Received on 28Jun2016",2019-08-06T01:58:41.000Z,WS-C3750G-48PS-S#JV,WS-C3750G-48PS-S
USEB,CISCO2951/K9#JV#PACK7012,1444669200,FGL161711T8,0,39,WH by PAT,2019-08-06T00:13:13.000Z,CISCO2951/K9#JV#PACK7012,CISCO2951/K9
USEB,WS-C2960S-48LPS-L#JV#P3226,1444669200,FOC1541Y1PU,0,39,WH by PAT,2019-08-06T00:13:13.000Z,WS-C2960S-48LPS-L#JV#P3226,WS-C2960S-48LPS-L
