Condition,Model,ReceivedDate,SerialNumber,StockStatus,SupplierName,Note.0,updated_at,oldModelName,newModelName
USEB,WS-C3560G-24PS-E#JV#PACK8091,1532624400,FOC1328Y0HK,1,39,wh by Phuong,2019-08-06T00:29:01.000Z,WS-C3560G-24PS-E#JV#PACK8091,WS-C3560G-24PS-E
USEB,WS-C3560G-24PS-E#JV#PACK8091,1532624400,FOC1150Y0W9,1,39,wh by Phuong,2019-08-06T00:29:01.000Z,WS-C3560G-24PS-E#JV#PACK8091,WS-C3560G-24PS-E
USEB,VG224#JV#PACK8094,1532624400,FHK1346F0CR,0,39,wh by Phuong,2019-08-06T00:29:01.000Z,VG224#JV#PACK8094,VG224
USEB,VG224#JV#PACK8094,1532624400,FHK1346F0CS,0,39,wh by Phuong,2019-08-06T00:29:01.000Z,VG224#JV#PACK8094,VG224
USEB,WS-C2960-8TC-L#JV#PACK20014,1532624400,FOC1315V7JA,0,39,wh by Phuong,2019-08-06T05:04:04.000Z,WS-C2960-8TC-L#WS-C2960-8TC-L ,WS-C2960-8TC-L
NIB,SFP-10G-SR#X02#JV#PACK8115#NOADD,1532624400,FNS144605QG,0,39,wh by E,2019-08-06T00:29:01.000Z,SFP-10G-SR#X02#JV#PACK8115#NOADD,SFP-10G-SR
USEB,C3K-PWR-750WAC#JV#PACK8074#MISSING,1532624400,DTN1126E157,0,39,wh by E,2019-08-06T00:29:01.000Z,C3K-PWR-750WAC#JV#PACK8074#MISSING,C3K-PWR-750WAC
USEB,C3K-PWR-750WAC-RF#C3K-PWR-750WAC#JV#PACK8074#MISSING,1532624400,DTN1508E0V0,0,39,wh by E,2019-08-06T00:42:54.000Z,C3K-PWR-750WAC-RF#C3K-PWR-750WAC#JV#PACK8074#MISSING,C3K-PWR-750WAC-RF
USEB,PWR-C2-1025WAC/2#PWR-C2-1025WAC#JV,1533056400,DCB2028C97R,0,39,"Pack5419   
From:  printerpartsandmore.",2019-08-06T02:02:47.000Z,PWR-C2-1025WAC/2#PWR-C2-1025WAC#JV,PWR-C2-1025WAC/2
NOB,WS-C2960X-48FPS-L#JV,1533056400,FOC1924S1K2,0,39,"From:  entegron
Pack5427",2019-08-06T00:29:07.000Z,WS-C2960X-48FPS-L#JV,WS-C2960X-48FPS-L
NOB,WS-C2960X-48FPS-L#JV,1533056400,FCW1912B4MB,0,39,"From:  entegron
Pack5427",2019-08-06T02:02:47.000Z,WS-C2960X-48FPS-L#JV,WS-C2960X-48FPS-L
USEB,PWR-2811-AC-IP#JV#WITH CABLE,1533056400,DTN1426J0YY,1,39,"Pack#: Pack5436

From:  NW Remarketing",2019-08-06T00:29:07.000Z,PWR-2811-AC-IP#JV#WITH CABLE,PWR-2811-AC-IP
USEB,PWR-2811-AC-IP#JV#WITH CABLE,1533056400,DTN1439J0HG,1,39,"Pack#: Pack5436

From:  NW Remarketing",2019-08-06T00:29:07.000Z,PWR-2811-AC-IP#JV#WITH CABLE,PWR-2811-AC-IP
USEB,C3850-NM-2-10G#JV,1533056400,FOC2132487Z,0,39,"Pack#: Pack5420

From:  IP China",2019-08-06T00:29:07.000Z,C3850-NM-2-10G#JV,C3850-NM-2-10G
USEB,C3850-NM-2-10G#JV,1533056400,FOC20387WE6,0,39,"Pack#: Pack5420

From:  IP China",2019-08-06T00:29:07.000Z,C3850-NM-2-10G#JV,C3850-NM-2-10G
USEB,C3850-NM-2-10G#JV,1533056400,FOC203519W2,0,39,"Pack#: Pack5420

From:  IP China",2019-08-06T02:02:47.000Z,C3850-NM-2-10G#JV,C3850-NM-2-10G
USEB,C3850-NM-2-10G#JV,1533056400,FOC20140QE3,0,39,"Pack#: Pack5420

From:  IP China",2019-08-06T00:29:08.000Z,C3850-NM-2-10G#JV,C3850-NM-2-10G
USEB,C3850-NM-2-10G#JV,1533056400,FOC1944355N,0,39,"Pack#: Pack5420

From:  IP China",2019-08-06T02:02:47.000Z,C3850-NM-2-10G#JV,C3850-NM-2-10G
USEB,C3850-NM-2-10G#JV,1533056400,FOC21306LTG,0,39,"Pack#: Pack5420

From:  IP China",2019-08-06T00:29:08.000Z,C3850-NM-2-10G#JV,C3850-NM-2-10G
USEB,C3850-NM-2-10G#JV,1533056400,FOC21305J5L,0,39,"Pack#: Pack5420

From:  IP China",2019-08-06T00:29:08.000Z,C3850-NM-2-10G#JV,C3850-NM-2-10G
USEB,C3850-NM-2-10G#JV,1533056400,FOC21305JFQ,0,39,"Pack#: Pack5420

From:  IP China",2019-08-06T00:29:08.000Z,C3850-NM-2-10G#JV,C3850-NM-2-10G
USEB,C3850-NM-2-10G#JV,1533056400,FOC21324844,0,39,"Pack#: Pack5420

From:  IP China",2019-08-06T00:29:08.000Z,C3850-NM-2-10G#JV,C3850-NM-2-10G
USEB,C3850-NM-2-10G#JV,1533056400,FOC19375B5H,0,39,"Pack#: Pack5420

From:  IP China",2019-08-06T00:29:08.000Z,C3850-NM-2-10G#JV,C3850-NM-2-10G
USEB,CISCO2911-V/K9#CISCO2911/K9#JV,1533056400,FTX1632AKR5,0,39,"Pack#: Pack5447

From: Ivan Tran",2019-08-06T00:42:54.000Z,CISCO2911-V/K9#CISCO2911/K9#JV,CISCO2911-V/K9
USEB,SM-NM-ADPTR#JV,1533056400,FOC16274PVR,1,39,"Pack#: Pack5447

From: Ivan Tran",2019-08-06T00:29:08.000Z,SM-NM-ADPTR#JV,SM-NM-ADPTR
USEB,EVM-HD-8FXS/DID#EVM-HD#JV,1533056400,FOC16373BHY,1,39,"Pack#: Pack5447

From: Ivan Tran",2019-08-06T00:42:54.000Z,EVM-HD-8FXS/DID#EVM-HD#JV,EVM-HD-8FXS/DID
USEB,VWIC2-2MFT-T1/E1#JV,1533056400,FOC14414SND,1,39,"Pack#: Pack5447

From: Ivan Tran",2019-08-06T00:29:08.000Z,VWIC2-2MFT-T1/E1#JV,VWIC2-2MFT-T1/E1
USEB,VWIC2-2MFT-T1/E1#JV,1533056400,FOC14232AK4,1,39,"Pack#: Pack5447

From: Ivan Tran",2019-08-06T00:29:08.000Z,VWIC2-2MFT-T1/E1#JV,VWIC2-2MFT-T1/E1
USEB,VWIC2-2MFT-T1/E1#JV,1533056400,FOC17010QV3,1,39,"Pack#: Pack5447

From: Ivan Tran",2019-08-06T00:29:08.000Z,VWIC2-2MFT-T1/E1#JV,VWIC2-2MFT-T1/E1
USEB,VWIC-2MFT-T1#JV,1533056400,35996115,0,39,"Pack#: Pack5447

From: Ivan Tran",2019-08-06T00:29:08.000Z,VWIC-2MFT-T1#JV,VWIC-2MFT-T1
USEB,HWIC-1DSU-T1#JV,1533056400,FOC172001KJ,1,39,"Pack#: Pack5447

From: Ivan Tran",2019-08-06T00:29:08.000Z,HWIC-1DSU-T1#JV,HWIC-1DSU-T1
USEB,CISCO891-K9#JV#PACK9041-5,1533142800,FHK144970J1,0,39,"wh by E

From : yjia23",2019-08-06T00:29:08.000Z,CISCO891-K9#JV#PACK9041-5,CISCO891-K9
USEB,PWR-2811-AC-IP#PWR-2901-POE#JV#PACK8081,1533142800,DTN1439J0S3,0,39,wh by E,2019-08-06T00:42:55.000Z,PWR-2811-AC-IP#PWR-2901-POE#JV#PACK8081,PWR-2811-AC-IP
USEB,PWR-2811-AC-IP#PWR-2901-POE#JV#PACK8081,1533142800,DTN1439J0RN,0,39,wh by E,2019-08-06T00:42:55.000Z,PWR-2811-AC-IP#PWR-2901-POE#JV#PACK8081,PWR-2811-AC-IP
USEB,PWR-2811-AC-IP#PWR-2901-POE#JV#PACK8081,1533142800,DTN1439J0S2,0,39,wh by E,2019-08-06T00:42:55.000Z,PWR-2811-AC-IP#PWR-2901-POE#JV#PACK8081,PWR-2811-AC-IP
USEB,PWR-2811-AC-IP#PWR-2901-POE#JV#PACK8081,1533142800,DTN1439J0S0,0,39,wh by E,2019-08-06T00:42:55.000Z,PWR-2811-AC-IP#PWR-2901-POE#JV#PACK8081,PWR-2811-AC-IP
USEB,PWR-2811-AC-IP#PWR-2901-POE#JV#PACK8081,1533142800,DTN1439J0SP,0,39,wh by E,2019-08-06T00:42:55.000Z,PWR-2811-AC-IP#PWR-2901-POE#JV#PACK8081,PWR-2811-AC-IP
USEB,PWR-2811-AC-IP#PWR-2901-POE#JV#PACK8081,1533142800,DTN1439J0RL,0,39,wh by E,2019-08-06T00:42:55.000Z,PWR-2811-AC-IP#PWR-2901-POE#JV#PACK8081,PWR-2811-AC-IP
USEB,PWR-2811-AC-IP#PWR-2901-POE#JV#PACK8081,1533142800,DTN1439J0SM,0,39,wh by E,2019-08-06T00:42:55.000Z,PWR-2811-AC-IP#PWR-2901-POE#JV#PACK8081,PWR-2811-AC-IP
USEB,PWR-2811-AC-IP#PWR-2901-POE#JV#PACK8081,1533142800,DTN1439J0S4,0,39,wh by E,2019-08-06T00:42:55.000Z,PWR-2811-AC-IP#PWR-2901-POE#JV#PACK8081,PWR-2811-AC-IP
USEB,PWR-2811-AC-IP#PWR-2901-POE#JV#PACK8081,1533142800,DTN1439J0RG,0,39,wh by E,2019-08-06T00:42:55.000Z,PWR-2811-AC-IP#PWR-2901-POE#JV#PACK8081,PWR-2811-AC-IP
USEB,PWR-2811-AC-IP#PWR-2901-POE#JV#PACK8081,1533142800,DTN1439J0RJ,0,39,wh by E,2019-08-06T00:42:55.000Z,PWR-2811-AC-IP#PWR-2901-POE#JV#PACK8081,PWR-2811-AC-IP
USEB,PWR-2811-AC-IP#PWR-2901-POE#JV#PACK8081,1533142800,DTN1439J0SQ,0,39,wh by E,2019-08-06T00:42:55.000Z,PWR-2811-AC-IP#PWR-2901-POE#JV#PACK8081,PWR-2811-AC-IP
USEB,PWR-2811-AC-IP#PWR-2901-POE#JV#PACK8081,1533142800,DTN1439J0S6,0,39,wh by E,2019-08-06T00:42:55.000Z,PWR-2811-AC-IP#PWR-2901-POE#JV#PACK8081,PWR-2811-AC-IP
