SupplierID,Model,SerialNumber,Condition,SmartNet,Note,ReceivedDate,StockStatus
39,CP-PWR-CUBE-3#JV,PHI1119I07E,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI1002IL8G,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI1117IPYM,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI1117IG8N,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI0806083R,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI07210FXQ,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI1002IABX,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI1103I1KV,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI08040FG0,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI08040FE2,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI07480GYW,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI08040K4M,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI08040ENZ,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI081702PE,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI080608WA,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI07210FLT,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI07480E36,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI1002IK7H,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI08080AXD,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI1125I06X,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI080608MP,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI07480HC8,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI073206X7,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI08040FPJ,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI08060AX1,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI074104YE,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI08260HC8,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,PHI08040FNZ,USEB,NC,--,1586970000,1
39,CP-PWR-CUBE-3#JV,ISP001354,USEB,NC,--,1586970000,1
39,CP-DX70-W-K9#JV,FOC2009N1UD,USEB,NC,--,1586970000,1
39,CP-DX70-W-K9#JV,FOC2213NK1N,USEB,NC,--,1586970000,1
39,CP-DX70-W-K9#JV,FOC2223NBLX,USEB,NC,--,1586970000,1
39,CP-DX70-W-K9#JV,FOC2147NB39,USEB,NC,--,1586970000,1
39,CP-DX70-W-K9#JV,FOC2132N3V6,USEB,NC,--,1586970000,1
39,CP-DX70-W-K9#JV,FOC2018NCLG,USEB,NC,--,1586970000,1
39,CP-DX70-W-K9#JV,FOC2051P0A9,USEB,NC,--,1586970000,1
39,CP-DX70-W-K9#JV,FOC2101NG38,USEB,NC,--,1586970000,1
39,CP-DX70-W-K9#JV,FOC2220NETZ,USEB,NC,--,1586970000,1
39,CP-DX70-W-K9#JV,FOC2132N3PF,USEB,NC,--,1586970000,1
39,ASA5505#JV,JMX1713Z0BT,USEB,NC,--,1586970000,1
39,ME-3400EG-12CS-M#JV,FOC1633V2NF,USEB,NC,Need check picture.--,1586970000,1
39,ME-3400EG-12CS-M#JV,FOC1411X2Q6,USEB,NC,Need check picture.--,1586970000,1
39,ME-3400EG-12CS-M#JV,FOC1617V3AW,USEB,NC,Need check picture.--,1586970000,1
39,ME-3400EG-12CS-M#JV,FOC1633V2EN,USEB,NC,Need check picture.--,1586970000,1
39,ME-3400EG-12CS-M#JV,FOC1615X07F,USEB,NC,Need check picture.--,1586970000,1
39,ME-3400EG-12CS-M#JV,FOC1633V2DM,USEB,NC,Need check picture.--,1586970000,1
39,ME34X-PWR-AC#JV,LIT14020GPW,USEB,NC,Need check picture.--,1586970000,1
39,ME34X-PWR-AC#JV,LIT14020GYS,USEB,NC,Need check picture.--,1586970000,1
39,ME34X-PWR-AC#JV,LIT14450F1Y,USEB,NC,Need check picture.--,1586970000,1
39,ME34X-PWR-AC#JV,LIT16020TSF,USEB,NC,Need check picture.--,1586970000,1
39,ME34X-PWR-AC#JV,LIT17030LMZ,USEB,NC,Need check picture.--,1586970000,1
39,ME34X-PWR-AC#JV,LIT16020VE7,USEB,NC,Need check picture.--,1586970000,1
