"1","7","783","FGL1715S94Y",NULL,"8.BOX.0123; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:23","3000","1","1","8.BOX.0123",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"2","7","783","FGL1717X3DP",NULL,"8.BOX.0123; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:23","3000","1","1","8.BOX.0123",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"3","7","783","FGL1717X42V",NULL,"8.BOX.0124; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:45","3000","1","1","8.BOX.0124",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"4","7","783","FGL1717X43Y",NULL,"8.BOX.0124; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:45","3000","1","1","8.BOX.0124",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"5","7","783","FGL1715S95J",NULL,"8.BOX.0124; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:45","3000","1","1","8.BOX.0124",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"6","7","783","FGL1711S8Z4",NULL,"8.BOX.0124; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:45","3000","1","1","8.BOX.0124",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"7","7","783","FGL1715S951",NULL,"8.BOX.0124; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:45","3000","1","1","8.BOX.0124",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"8","7","783","FGL1717X3EK",NULL,"8.BOX.0124; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:45","3000","1","1","8.BOX.0124",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"9","7","783","FGL1717X3ZL",NULL,"8.BOX.0124; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:45","3000","1","1","8.BOX.0124",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"10","7","783","FGL1711S8Z9",NULL,"8.BOX.0124; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:44","3000","1","1","8.BOX.0124",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"11","7","783","FGL1717X43P",NULL,"8.BOX.0124; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:44","3000","1","1","8.BOX.0124",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"12","7","783","FGL1717X3ZB",NULL,"8.BOX.0123; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:23","3000","1","1","8.BOX.0123",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"13","7","783","FGL1717X42B",NULL,"8.BOX.0124; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:44","3000","1","1","8.BOX.0124",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"14","7","783","FGL1717X3CM",NULL,"8.BOX.0123; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:21","3000","1","1","8.BOX.0123",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"15","7","783","FGL1717X3E3",NULL,"8.BOX.0123; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:21","3000","1","1","8.BOX.0123",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
