Supplier,Condition,Model,ReceivedDate,SerialNumber,StockStatus,Note,oldModelName,newModelName
39,USEB,GLC-LH-SMD,1419786000,FNS172619ZV,0,osi hardware--,GLC-LH-SMD,GLC-LH-SMD
39,USEB,GLC-LH-SMD,1419786000,FNS17260WDU,0,osi hardware--,GLC-LH-SMD,GLC-LH-SMD
39,USEB,GLC-LH-SMD,1419786000,FNS171117NZ,0,osi hardware--,GLC-LH-SMD,GLC-LH-SMD
39,USEB,GLC-LH-SMD,1419786000,FNS171116LP,0,osi hardware--,GLC-LH-SMD,GLC-LH-SMD
39,USEB,GLC-LH-SMD,1419786000,FNS171117T3,0,osi hardware--,GLC-LH-SMD,GLC-LH-SMD
39,USEB,GLC-LH-SMD,1419786000,FNS16500JJF,0,osi hardware--,GLC-LH-SMD,GLC-LH-SMD
39,USEB,GLC-LH-SMD,1419786000,FNS175126ZD,0,osi hardware--,GLC-LH-SMD,GLC-LH-SMD
39,USEB,GLC-LH-SMD,1419786000,FNS16450LCJ,0,osi hardware--,GLC-LH-SMD,GLC-LH-SMD
39,USEB,GLC-LH-SMD,1419786000,FNS175126Z8,0,osi hardware--,GLC-LH-SMD,GLC-LH-SMD
39,USEB,GLC-LH-SMD,1419786000,FNS16461KZM,0,osi hardware--,GLC-LH-SMD,GLC-LH-SMD
39,USEB,GLC-LH-SMD,1419786000,FNS16500K1K,0,osi hardware--,GLC-LH-SMD,GLC-LH-SMD
39,USEB,GLC-LH-SMD,1419786000,FNS16461GNE,0,osi hardware--,GLC-LH-SMD,GLC-LH-SMD
39,USEB,GLC-LH-SMD,1419786000,FNS16491FND,0,osi hardware--,GLC-LH-SMD,GLC-LH-SMD
39,USEB,GLC-LH-SMD,1419786000,FNS16421UGK,0,osi hardware--,GLC-LH-SMD,GLC-LH-SMD
39,USEB,GLC-LH-SMD,1419786000,FNS16461KWP,0,osi hardware--,GLC-LH-SMD,GLC-LH-SMD
39,USEB,GLC-LH-SMD,1419786000,FNS16461TRA,0,osi hardware--,GLC-LH-SMD,GLC-LH-SMD
39,USEB,GLC-LH-SMD,1419786000,FNS165000ZH,0,osi hardware--,GLC-LH-SMD,GLC-LH-SMD
39,USEB,GLC-LH-SMD,1419786000,FNS16500K0N,0,osi hardware--,GLC-LH-SMD,GLC-LH-SMD
39,USEB,GLC-LH-SMD,1419786000,FNS16500K19,0,osi hardware--,GLC-LH-SMD,GLC-LH-SMD
39,USEB,GLC-LH-SMD,1419786000,FNS17030MJT,0,osi hardware--,GLC-LH-SMD,GLC-LH-SMD
39,USEB,GLC-T,1419786000,AGM183621EP,0,osi hardware--,GLC-T,GLC-T
39,USEB,GLC-T,1419786000,AGM183621F9,0,osi hardware--,GLC-T,GLC-T
39,USEB,GLC-T,1419786000,AGM183621F2,0,osi hardware--,GLC-T,GLC-T
39,USEB,GLC-T,1419786000,AGM183621EG,0,osi hardware--,GLC-T,GLC-T
39,USEB,GLC-T,1419786000,AGM183621EJ,0,osi hardware--,GLC-T,GLC-T
39,USEB,GLC-T,1419786000,AGM183621EE,0,osi hardware--,GLC-T,GLC-T
39,USEB,GLC-T,1419786000,AGM183621EL,0,osi hardware--,GLC-T,GLC-T
