SupplierID,Model,SerialNumber,Condition,SmartNet,Note,ReceivedDate,StockStatus
 39 ,HWIC-1GE-SFP#Z,FOC16015NGS,NIB,NC,wh by E--,1584032400,1
 39 ,X2-10GB-SR,FNS16350401,USEB,NC,"V06, Antistatic bag--osi hardware",1386954000,0
 39 ,GLC-T=,MTC090800TJ,USEB,NC,"V02, Antistatic Bag--osi hardware",1386954000,0
 39 ,GLC-T=,MTC09060013,USEB,NC,"V02, Antistatic Bag--osi hardware",1386954000,0
 39 ,GLC-T=,MTC093804JP,USEB,NC,"V02, Antistatic Bag--osi hardware",1386954000,0
 39 ,GLC-T=,MTC090803LR,USEB,NC,"V02, Antistatic Bag--osi hardware",1386954000,0
 39 ,GLC-T=,AGS1028L3Y0,USEB,NC,"V02, Antistatic Bag--osi hardware",1386954000,0
 39 ,GLC-T=,AGS0952L3QF,USEB,NC,"V02, Antistatic Bag--osi hardware",1386954000,0
 39 ,GLC-T=,MTC0905010K,USEB,NC,"V02, Antistatic Bag--osi hardware",1386954000,0
 39 ,GLC-T=,AGS0952L3RB,USEB,NC,"V02, Antistatic Bag--osi hardware",1386954000,0
 39 ,GLC-T=,AGS1028L2L7,USEB,NC,"V02, Antistatic Bag--osi hardware",1386954000,0
 39 ,GLC-T=,MTC09050114,USEB,NC,"V02, Antistatic Bag--osi hardware",1386954000,0
 39 ,GLC-T=,AGS1028L3YT,USEB,NC,"V02, Antistatic Bag--osi hardware",1386954000,0
 39 ,GLC-T=,AGS0944L22M,USEB,NC,"V02, Antistatic Bag--osi hardware",1386954000,0
 39 ,GLC-T=,AGM1115Q150,USEB,NC,"V02, Antistatic Bag broken for part only--Handle broken,osi hardware",1386954000,0
 39 ,GLC-T=,MTC084701FJ,USEB,NC,"V02, Antistatic Bag broken for part only--osi hardware",1386954000,0
 39 ,GLC-T=,MTC084701DZ,USEB,NC,"V02, Antistatic Bag broken for part only--Handle broken,osi hardware",1386954000,0
 39 ,GLC-T=,MTC092104SV,USEB,NC,"V02, Antistatic Bag broken for part only--Handle broken,osi hardware",1386954000,0
 39 ,GLC-T=,AGS0941L1U8,USEB,NC,"V02, Antistatic Bag broken for part only--Handle broken,osi hardware",1386954000,0
 39 ,GLC-T=,MTC0847014X,USEB,NC,"V02, Antistatic Bag broken for part only--Handle broken,osi hardware",1386954000,0
 39 ,GLC-SX-MM=,AGM1520L5DK,NIB,NC,"V04,--osi hardware",1386954000,0
 39 ,SFP-GE-T=,MTC092204MV,USEB,NC,V01--osi hardware,1386954000,0
 39 ,SFP-C-E1,FOC04/160045,USEB,NC,V01--osi hardware,1386954000,1
 39 ,X2-10GB-LX4,HCT11490620,USEB,NC,"V03, WH--osi hardware",1386954000,1
 39 ,X2-10GB-LX4,HCT11490617,USEB,NC,"V03, WH--osi hardware",1386954000,1
 39 ,X2-10GB-LX4,HCT12420276,USEB,NC,"V04, WH--osi hardware",1386954000,1
 39 ,X2-10GB-LX4,HCT12400877,USEB,NC,"SMD.BOX.058; 10/12/2019
--V04, WHosi hardware",1386954000,1
 39 ,X2-10GB-LX4,HCT12420237,USEB,NC,"V04, WH--osi hardware",1386954000,1
