serial_number,model,location,status,condition
FGL204010FS,CISCO2921-SEC/K9#CISCO2921/K9,8.1.1.2.A,InStock,USEB
FGL183810A1,CISCO2921-SEC/K9#CISCO2921/K9,8.1.1.2.A,InStock,USEB
FOX1226GAWY,WS-C4506-E V02,8.1.2.3,InStock,USEB
FGL1619114C,C2921-VSEC/K9#CISCO2921/K9,8.1.1.2.A,InStock,USEB
FGL1619114A,C2921-VSEC/K9#CISCO2921/K9,8.1.1.2.A,InStock,USEB
FGL173711RT,CISCO2921-SEC/K9,8.1.1.2.A,InStock,USEB
FGL183211YU,CISCO2921-SEC/K9,8.1.1.2.A,InStock,USEB
FGL1937117T,CISCO2921-SEC/K9,8.1.1.2.A,InStock,USEB
FGL173711T6,CISCO2921-SEC/K9,8.1.1.2.A,InStock,USEB
FGL182611M1,CISCO2921-SEC/K9,8.1.1.2.A,InStock,USEB
FGL18471085,CISCO2921-SEC/K9,8.1.1.2.A,InStock,USEB
FGL184010BS,CISCO2921-SEC/K9,8.1.1.2.A,InStock,USEB
FGL183610PQ,CISCO2921-SEC/K9,8.1.1.2.A,InStock,USEB
FGL200411MQ,CISCO2921-SEC/K9,8.1.1.2.A,InStock,USEB
FGL192810HA,CISCO2921-SEC/K9,8.1.1.2.A,InStock,USEB
FGL1530116Y,C2921-VSEC/K9,8.1.1.2.A,InStock,USEB
FGL192612RF,CISCO2921-SEC/K9,8.1.1.2.A,InStock,USEB
FGL184111BB,CISCO2921-SEC/K9,8.1.1.2.A,InStock,USEB
FGL154412RS,CISCO2921-SEC/K9#CISCO2921/K9,8.1.1.2.A,InStock,USEB
FGL175011CY,CISCO2921-SEC/K9#CISCO2921/K9,8.1.1.2.A,InStock,USEB
FGL151111MM,C2921-CME-SRST/K9#CISCO2921/K9,8.1.1.2.A,InStock,USEC
FGL153212RA,CISCO2921/K9,8.1.1.2.A,InStock,USEB
FGL171410EL,CISCO2921-SEC/K9,8.1.1.2.A,InStock,USEB
FGL193811WW,CISCO2921-SEC/K9,8.1.1.2.A,InStock,USEB
FOC100947AT,HWIC-1GE-SFP,8.MD.BOX.38,InStock,USEB
FOC153311J3,HWIC-1FE#RMA,8.MD.BOX.38,InStock,USEC
FOC1520295V,HWIC-1FE,8.MD.BOX.38,InStock,USEB
FOC10260Q69,HWIC-1GE-SFP,8.MD.BOX.38,InStock,USEB
FOC13426NBX,HWIC-1FE,8.MD.BOX.38,InStock,USEB
FOC13120XVT,HWIC-1FE,8.MD.BOX.38,InStock,USEB
FOC12412UJY,HWIC-1FE=#HWIC-1FE,8.MD.BOX.38,InStock,USEB
FOC12484D3D,HWIC-1FE=#HWIC-1FE,8.MD.BOX.38,InStock,USEB
FOC16247FY4,HWIC-2FE,8.MD.BOX.38,InStock,USEB
FOC171012LJ,HWIC-2FE,8.MD.BOX.38,InStock,USEB
FOC154622E6,HWIC-1GE-SFP,8.MD.BOX.38,InStock,USEA
FOC11353RCC,HWIC-1FE,8.MD.BOX.38,InStock,USEB
FOC163034S4,HWIC-1GE-SFP,8.MD.BOX.38,InStock,USEB
FOC13500F42,HWIC-1FE,8.MD.BOX.38,InStock,USEB
FOC2036454J,EHWIC-1GE-SFP-CU,8.MD.BOX.38,InStock,USEA
FOC203645HP,EHWIC-1GE-SFP-CU,8.MD.BOX.38,InStock,USEA
